district,total_score,public_service,economy,welfare,environment
ป้อมปราบศัตรูพ่าย,34.85,29.79,39.56,43.54,26.5
ปทุมวัน,34.75,38.79,48.69,35.13,16.38
พระนคร,34.75,28.88,41.56,38.08,30.5
สัมพันธวงศ์,33.53,26.21,43.19,41.08,23.63
ราชเทวี,32.32,37.92,38.31,26.67,26.38
สาทร,30.69,29.83,36.0,32.04,24.88
บางรัก,30.57,33.96,48.25,28.21,11.88
ห้วยขวาง,30.24,37.13,42.81,19.38,21.63
พญาไท,29.9,30.25,33.81,32.92,22.63
ดุสิต,29.76,31.58,24.0,30.46,33.0
หลักสี่,29.59,29.88,24.06,35.92,28.5
วัฒนา,29.48,33.08,45.56,20.04,19.25
บางกอกใหญ่,29.47,22.96,27.56,39.75,27.63
บางกอกน้อย,29.23,33.33,32.69,25.29,25.63
คลองเตย,29.18,38.96,39.63,24.13,14.0
มีนบุรี,28.67,24.04,22.44,31.08,37.13
บางพลัด,28.42,38.46,21.13,34.21,19.88
ทวีวัฒนา,28.24,15.67,29.31,35.21,32.75
ตลิ่งชัน,28.22,27.29,23.94,28.63,33.0
คลองสาน,28.18,28.63,33.38,32.46,18.25
สวนหลวง,28.02,28.21,29.31,25.92,28.63
บางคอแหลม,27.93,21.88,34.31,26.54,29.0
สะพานสูง,27.29,23.92,20.13,30.63,34.5
ยานนาวา,27.01,21.42,39.56,27.54,19.5
ราษฎร์บูรณะ,26.94,21.25,20.5,34.13,31.88
พระโขนง,26.63,28.67,23.44,33.67,20.75
คันนายาว,25.16,21.17,25.69,22.67,31.13
จตุจักร,24.35,37.04,31.63,7.0,21.75
ดอนเมือง,24.15,26.75,13.0,25.08,31.75
บางกะปิ,24.12,28.08,27.88,13.13,27.38
ธนบุรี,24.0,31.42,19.88,24.08,20.63
ดินแดง,22.88,28.96,23.69,25.5,13.38
ลาดพร้าว,22.61,20.25,28.0,17.92,24.25
บางนา,22.01,27.38,31.63,18.29,10.75
จอมทอง,21.78,16.38,9.63,27.5,33.63
บางซื่อ,21.46,23.04,15.19,21.75,25.88
บางบอน,21.14,13.25,21.44,23.5,26.38
ลาดกระบัง,20.98,18.96,20.75,20.96,23.25
บึงกุ่ม,20.89,22.71,17.06,19.04,24.75
ภาษีเจริญ,20.85,24.5,10.25,22.79,25.88
คลองสามวา,20.71,11.17,9.75,30.17,31.75
ประเวศ,20.36,17.25,20.31,21.88,22.0
วังทองหลาง,20.28,27.38,30.94,11.54,11.25
หนองจอก,20.09,19.58,6.88,21.04,32.88
บางเขน,19.8,23.5,5.81,25.75,24.13
ทุ่งครุ,19.55,13.25,9.31,15.25,40.38
สายไหม,17.91,21.25,6.31,19.46,24.63
บางขุนเทียน,17.64,12.46,11.56,13.29,33.25
บางแค,16.9,12.0,5.75,14.96,34.88
หนองแขม,13.67,7.75,8.31,18.13,20.5
